"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/SaltFlats/Art/PostProcess/PPM_NeutralDensityGrad.PPM_NeutralDensityGrad","0","10","1","1","16.157812","0","55"
"/Game/SaltFlats/Calibration/M_ChromeBall.M_ChromeBall","0","19","1","1","39.583073","0","176"
"/Game/SaltFlats/Calibration/M_MacBethChart.M_MacBethChart","0","19","1","1","39.211552","0","182"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar_Lights.M_SportsCar_Lights","0","88","1","1","745.150330","0","1868"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","93","3","1","263.914642","0","1451"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","93","8","1","270.500977","0","1923"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","93","2","1","247.261307","0","1654"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","38","2","1","80.552544","0","408"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","13","1","1","25.467793","0","81"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","10","1","1","29.465128","0","52"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","16","1","1","31.935751","0","144"
"/ControlRig/M_Manip.M_Manip","0","16","9","1","35.263329","0","125"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","90","15","2","189.409302","0","1430"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","8","2","1","17.712927","0","41"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","10","1","1","17.963907","0","34"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","111","5","1","186.029053","0","2307"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","61","1","1","673.717163","0","678"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","46","1","1","66.635399","0","413"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","173","10","1","324.689362","0","4150"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","225","7","1","468.161377","0","6749"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1610","8","1","2967.410156","0","190093"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","3","1","74.537155","0","461"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","85","13","6","189.266403","0","476"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","10","1","1","17.426235","0","56"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","10","2","1","18.164490","0","42"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","47","2","1","67.343094","0","673"
"/Game/SaltFlats/Art/HeatDistort/M_HeatDistortion.M_HeatDistortion","0","13","1","1","25.362883","0","68"
"/Game/SaltFlats/Art/SaltFlats/ScatterProps/SaltChunks/M_ScatterSaltChunks.M_ScatterSaltChunks","0","38","2","1","88.905502","0","501"
"/Game/SaltFlats/Art/SaltFlats/Surface/M_IH_Floor.M_IH_Floor","0","19","10","1","155.627594","41","353"
"/Game/SaltFlats/Art/SaltFlats/Surface/M_IH_FloorCracks.M_IH_FloorCracks","0","31","1","1","67.397346","0","307"
"/Game/SaltFlats/Art/Tracks/M_Tracks_Master.M_Tracks_Master","0","32","4","1","69.399384","0","318"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","62","2","2","165.003754","0","509"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","8","1","1","17.387079","0","38"
"/Game/SaltFlats/Art/SaltFlats/ScatterProps/M_SaltFlatProps.M_SaltFlatProps","0","38","1","1","82.216637","0","411"
"/Game/Track/M_Track.M_Track","0","33","1","1","68.586952","0","345"
"/Game/SaltFlats/Art/Cloud/m_SimpleVolumetricCloud_128.m_SimpleVolumetricCloud_128","0","61","2","1","770.794434","0","958"
"/Game/MSPresets/M_MS_Default_Material/M_MS_Default_Material.M_MS_Default_Material","0","38","1","1","89.004356","0","411"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar_Wheel.M_SportsCar_Wheel","0","52","6","1","115.781982","0","764"
"/Game/Vehicles/SportsCar/Materials/M_SportsCar.M_SportsCar","0","110","6","2","286.093689","0","1000"
"/Game/SaltFlats/Art/SaltFlats/BGMountains/M_BGMountain.M_BGMountain","0","19","1","1","46.764896","0","139"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","1","1","210.925293","0","1201"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","100","2","1","343.713898","0","2305"
"/Game/Environment/M_ForestLandscape.M_ForestLandscape","0","60","46","2","149.265045","0","387"
"/Game/MapLayouts/Materials/M_Landscape.M_Landscape","0","183","165","5","456.708160","0","2607"
"/Game/MSPresets/M_MS_Default_Transmission_Material/M_MS_Default_Transmission_Material.M_MS_Default_Transmission_Material","0","19","2","1","44.850639","0","171"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","76","8","1","149.523087","0","1349"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","62","2","2","183.743622","0","661"
"/Game/MSPresets/M_MS_Default_Fuzz_Material/M_MS_Default_Fuzz_Material.M_MS_Default_Fuzz_Material","0","38","1","1","102.960999","0","299"
"/Game/MSPresets/M_MS_Surface_Material/M_MS_Surface_Material.M_MS_Surface_Material","0","33","2","1","83.451607","0","276"
"/Game/MSPresets/M_MS_Foliage_Material/M_MS_Foliage_Material.M_MS_Foliage_Material","0","68","1","1","175.402817","0","892"
"/Game/MSPresets/M_MS_Billboard_Material/M_MS_Billboard_Material.M_MS_Billboard_Material","0","68","2","1","200.718460","0","886"
